premise,hypothesis,label,explanation,human_explanation
A shot of a few people in a laundromat.,The people are food shopping.,2,The people in the laundromat are engaged in an activity that is unrelated to food shopping.,Food shopping generally does not occur in a laundromat.
A man is standing beside a ladder facing it with tree debris all around him.,the man is wearing a dress.,2,"The premise describes a man standing beside a ladder, but it does not provide any information about his clothing, leaving the hypothesis about him wearing a dress unsubstantiated.",A man would not be wearing a dress standing beside a ladder as a dress is clothes that women wear.
A football player in a white jersey has his hand on a football player in a green jersey who is in the air.,Two football players in action.,0,"Two football players are engaged in a play, with one player making contact with the other who is airborne.","Two football players were mentioned, so there can be assumed to be two football players."
A young woman working in a factory.,Nobody is working,2,A young woman working in a factory indicates that at least one person is engaged in work.,"If there is a woman, it is impossible for there to be nobody."
"A police officer, with many items around his waist, is ordering something at a cafe.",The officer was at the park.,2,"The premise describes a police officer at a cafe, while the hypothesis suggests the officer is at a park, which are two different locations.",The officer cannot be at the park and cafe at the same time.
Boy falling off of a sheep while a man in a cowboy hat and sunglasses rushes over to help him.,A boy falls as his father helps him,1,"A boy is falling off a sheep while a man rushes over to assist him, suggesting a parental or protective role.",The man is not necessarily his father.
Two ladies moving about in an large theater or sports arena.,Two girls are trying to get upfront at a concert.,1,Two ladies in a large theater or sports arena could be trying to navigate through the crowd to get closer to the stage at a concert.,when two girls are at concert they are not necessarily needed to be in a theater
A cowboy is in an arena with horses and a cow.,The animals are aggressive,1,"The presence of horses and a cow in an arena suggests that the animals may exhibit unpredictable behavior, which could be interpreted as aggression.",The animals are not necessarily aggressive.
Two dogs are on a white carpet with one of the dogs showing its fangs.,Some animals on a carpet,0,Two dogs on a carpet indicate that there are animals present on the carpet.,animals on a carpet  shows that dogs are on a white carpet
"Cute girl at a children's beauty shop sitting on a toy car having her hair blow-dried, while stylist is smiling and gentleman's arm is touching the car.",The girl does the stylist's hair,2,"The premise describes a girl getting her hair done by a stylist, which does not imply that she is doing the stylist's hair.",The girl can't have her hair blow dried while doing the stylist's hair.
A man in a gray shirt is holding a deck of cards.,The man is wearing gray.,0,A man in a gray shirt is indeed wearing gray.,A man said to be in a gray shirt can be said to be wearing the color gray.
The rusty lock is attached to a chain.,The rusty lock was cut and hanging from teh chain,1,The rusty lock could potentially be cut and left hanging from the chain.,"Just because a rusty lock is attached to a chain, it doesn't reveal any reason to infer that the lock was cut and is hanging."
A person in a red shirt and black pants rock climbing.,A person is rock climbing.,0,"A person rock climbing is described in the premise, confirming that they are indeed engaged in the activity mentioned in the hypothesis.",Both person are rock climbing.
Four people walk down a city sidewalk- three facing the camera one away.,People are on the sidewalk.,0,"Four people are walking on the sidewalk, indicating that there are indeed people present on the sidewalk.",people walk down a city sidewalk implies that they are on sidewalk.
"A man jogs down a city street, with a line attached to his back that vanishes out of the left side of the picture; a smiling cyclist rides past.",A man is jogging on sidewalk with a fishing line attached to his back; a cyclist rides past while laughing at him.,2,"The premise describes a man jogging with a line attached to his back, while the hypothesis suggests that the line is a fishing line and that a cyclist is laughing at him.",A CITY STREET IS NOT A SIDEWALK.
A lady sitting in a log cabin by herself.,A woman sits alone.,0,A lady sitting alone in a log cabin indicates that she is a woman who is by herself.,A woman by herself is alone.
A man writes a note while sitting next to a crate and a bike.,The man on a treadmill at the gym.,2,The man is engaged in an activity that does not involve exercising on a treadmill at the gym.,One cannot be sitting and on a treadmill at the same time.
A young man who is running as part of a competition team.,A young man is moving fast.,0,A young man running as part of a competition team is likely moving quickly to compete effectively.,a man who is running is obviously moving fast
Costumed kids on a jungle gym.,Kids are at an outdoor haloween party.,1,"Costumed kids playing on a jungle gym suggests they are participating in a festive outdoor activity, which aligns with the atmosphere of a Halloween party.",We don't know that the kids are at a haloween party.
A man plays a bagpipe while another checks on the instrument.,Two men playing piano.,2,"The premise describes a man playing a bagpipe, while the hypothesis mentions two men playing a piano, indicating a different musical activity and instrument.",Two men are not one man.  A bagpipe is not a piano.
The girl eating spaghetti is wearing a red jacket.,The girl in red is having dinner,0,The girl wearing a red jacket is likely having dinner since she is eating spaghetti.,Spaghetti is for dinner.
A young woman in a white top and jeans is holding up a sign along with other people.,A woman holds a sign.,0,"A young woman is holding up a sign, which directly supports the statement that a woman holds a sign.",Holding up a sign is another way to say holds a sign and a young woman is a more specific way of saying a woman.
two young females on an amusement ride.,the females on amusement ride,0,Two young females are enjoying themselves on an amusement ride.,Young females are females of younger ages.
"Four teenagers, three girls and one boy, are jumping in the air on a sidewalk by the river.","Four teenagers, three girls and one boy, are happily jumping.",1,"The teenagers are described as jumping, which implies they are likely enjoying themselves.","There is no reason to believe they are happily jumping - they could be sad, and still jumping."
A girl with dreadlocks tries to hit a ball on a waterlogged put-put course.,A girl is playing alone.,1,A girl playing on a waterlogged put-put course may be doing so without any companions.,Playing put-put doesn't imply she's alone.
3 men in t-shirt and shorts sitting on the grass eating food.,The 3 men are outside in their t-shirts.,0,"The three men are sitting on the grass, which indicates they are outside and wearing t-shirts.","If someone is sitting on grass, they are probably outside."
"three dogs are running through the snow, one of them throwing up so much snow that he can hardly be seen.",There are dogs outside.,0,Three dogs running through the snow indicates that there are indeed dogs outside.,dogs are running through the snow means they are outside
A bike rider in the air above a ramp.,A bike rider standing at the opening gate.,2,A bike rider in the air above a ramp is not necessarily at the opening gate.,A bike rider is either in the air above a ramp or standing at the gate.
"Three people, smiling while playing cards.",Three people are grinning.,0,"The three people smiling while playing cards are likely expressing joy, which can be described as grinning.",Smiling is the same action as grinning.
A group of children in red t-shirts with white hearts printed on them sit beside a large bus parked in front of a Toys R Us store.,A group of boys and girls sit next to a school bus.,1,"A group of children can include both boys and girls, and they are sitting next to a large bus.",Not a group of children are a group of boys and girls.
Motorcyclist on motorcycle racing around track.,A motorcyclist racing around a track.,0,A motorcyclist is racing around a track on a motorcycle.,There is a motorcyclist racing around
A man wearing a mask is cutting a hole in a roof and there is an orange crane next to him.,A man is working for a construction company.,1,The presence of a man cutting a hole in a roof alongside an orange crane suggests he is engaged in construction work.,A man can cut a whole in the roof an not work for a construction company.
A football player charges down the field after a member of the opposite team.,Some people playing basketball.,2,"A football player and basketball players are both athletes engaged in competitive sports, but they play different games.",football and basketball are different sports
A woman in a red shoulder shrug and brown boots walking down a street passed a painted I Love New York wall sign with a doctor.,a woman is outside,0,"The woman is walking down the street, indicating that she is outside.",Walking down the street implies being outside.
"A woman in a black top stands with another man, displaying a group of patterned dresses on hangars.",Two people view dresses hanging from multiple hangars.,0,"The woman in the black top and the man are together, indicating that they are both involved in viewing the group of patterned dresses on hangars.","Man and woman are two people, both of which are near dresses."
A man is hammering an anvil.,An office worker seen at work.,2,"A man hammering an anvil is engaged in a physical task, which is different from the work typically done by an office worker.","An anvil is not a normal piece of office equipment, so anyone hammering on one is not a normal office worker."
An elderly man stands on a ladder tending the leaves of a tree.,An elderly man tends to a tree.,0,An elderly man is engaged in the activity of caring for a tree.,"""An elderly man tends to a tree"" is a less descriptive version of saying he is on a ladder tending the leaves of the tree."
A bike riding couple dressed in bike gear and helmets take a minute to site on a bench to talk and park their bikes.,A couple is watching tv,2,A couple sitting on a bench talking and parking their bikes is not engaged in watching TV.,The couple can either be watching tv or be on a bench where they can't watch tv.
A man and woman are sitting at a table with a Jenga game in front of them and a few beer bottles.,A man and woman are swimming.,2,A man and woman sitting at a table with a Jenga game and beer bottles are not engaged in swimming activities.,"The man and a woman cannot be swimming, and at the same time be sitting at a table with a Jenga game."
A baby eats and has food on his face.,Baby fell asleep while eating food,1,"A baby can fall asleep while eating, which may explain the food on his face.",Eats does not imply the baby fell asleep.
The man writes something on the chalkboard to teach the girl who is standing next to him.,The man is teaching the pupil by writing.,1,"The man is using the chalkboard to convey information to the girl, indicating that he is engaged in a teaching activity.",You can not infer he is teaching.
Group of children playing soccer with body of water in the background.,It's a sunny day.,1,"The presence of children playing soccer often suggests a pleasant outdoor environment, which is typically associated with sunny weather.",Not all days are a sunny day.
People are gathering under colored lights in a large tent.,People are meeting in a tent.,1,"People are gathering in a large tent, which indicates that they are meeting there.",Gathering at a location does not mean the same as meeting.
A man with a black hat is walking with a riffle.,The hat is blue,2,A man wearing a black hat cannot be said to be wearing a blue hat.,Black and blue are different.
A boy is standing next to a car in front of a clothesline.,The kid is in a movie theater.,2,A boy standing next to a car in front of a clothesline does not imply he is in a movie theater.,boy and kid have different ages
A middle-aged woman ironing in a messy room., A middle-aged woman ironing a shirt.,1,"The woman is engaged in the task of ironing, which typically involves ironing a shirt or similar clothing item.",Does not mention that the item of clothing is a shirt.
People are sitting outside of a building.,People on the outside of a building.,0,People sitting outside of a building are located on the outside of that building.,"if people are sitting outside of a building, they must be outside of a building."
A man in a brown button up shirt is heating a material in a work station.,There is a man quitting his job,2,"The premise describes a man engaged in a work-related task, while the hypothesis suggests a significant change in his employment status.","One sentence explains that a man is working at a work station. While the other sentence explains that he is quitting his current job,"
A child walks outside as leaves fall.,The child is walking its dog,1,A child walking outside does not necessarily imply that they are walking a dog.,not every child is outside.
A man with a white shirt is sitting at a table in a room with other people and posters along the blue wall.,No one is in the room.,2,The presence of a man sitting at a table with other people in the room contradicts the idea that no one is in the room.,There can't be no one if the room if there is a man with other people.
A man wearing a blue suit is standing on a roof with a mop and bucket.,The man is wearing blue.,0,"The man is described as wearing a blue suit, which indicates that the color of his attire is blue.",A man wearing blue is definitely same as a man wearing blue.
Friends talking outside of a local bar.,People talking to each other.,1,Friends conversing outside a bar are engaging in a social interaction.,People can talk around each other without speaking to each other.
A bird eating.,The bird was flying.,2,A bird that is eating is likely not in the process of flying.,The bird cannot simultaneously be eating and flying
A dog runs in a field.,The dog is sleeping.,2,"A dog running in a field is actively engaged in physical activity, which is the opposite of sleeping.",the dog cannot run while sleeping.
A team stands on a field while fans sit in the audience and some men in suits get their pictures taken.,A team stand on a field,0,A team stands on a field as described in the premise.,The team standing on a field is being photographed by some men in suits while the fans sit in audience.
"Orange, brown and white and brown dogs on grass.",Cats of different colors are sitting on the sidewalk.,2,"The premise describes dogs on grass, while the hypothesis discusses cats on the sidewalk, indicating a focus on different animals and locations.","Cats and dogs are different animals, and the sidewalk is not the grass."
Four guys playing soccer on the pavement.,four guys at soccer practice,1,"The premise describes four guys playing soccer, which could imply they are engaged in a practice session.",Playing does not imply it being at soccer practice.
A young women with long blond-hair is planting in a garden.,A short haired woman picking berries.,2,"A young woman with long blond hair is engaged in gardening, which does not imply she is short-haired or picking berries.",A woman can't have long and short hair. Planting and picking are different acts.
A man in a hat is steering a boat while a passenger reads the paper.,A passenger assists a man in steering a boat.,2,"The premise describes a man steering a boat while a passenger reads, but it does not indicate that the passenger is assisting in the steering.",A passenger can not assists a man while he reads the paper.
A baseball player is on the field in fronmt of an audience.,Fans crowd around the player to get his autograph.,2,"The presence of an audience suggests that the baseball player is likely to attract attention, which could lead fans to seek his autograph.",Fans can not crowd around a player when he is on the field.
A mother holding an item while her daughter is on the phone texting.,A womans is holding a flashlight looking for her lost keys while her daughter texts her dad for help.,1,"A mother can be holding an item while her daughter is texting, which could include a flashlight if she is looking for something.","The phrase 'an item' does not provide any information about what the item is, nor what the purpose of holding the item is, ergo it cannot be assumed that a person is holding a flashlight with the purpose of looking for her lost keys.  Daughters text anyone for any reason at any time, it cannot be inferred that this daughter texts her dad for help."
A group of male and female cheerleaders in black and yellow uniforms have thrown a female cheerleader in the air and are waiting to catch her.,A girl is in the air over some cheerleaders.,0,"A female cheerleader is being thrown into the air by her teammates, who are waiting to catch her.",Female is a girl.
A man is playing shot put with a skirt.,A woman throws a discus.,2,A man playing shot put does not imply that a woman is throwing a discus.,It can't be both a man and a shot put and a woman with a discus at once.
Women burning what looks like incense.,Multiple women surround what appears to be a burning incense stick.,0,Several women are engaged in an activity that involves burning something that resembles incense.,Both subjects are burning
A man watching as one woman in a brown coat is talking to another woman in a gray coat.,Two women sunbathe on the beach,2,"The premise describes two women in coats having a conversation, while the hypothesis suggests two women are engaged in a completely different activity on the beach.",Two woman cannot be in coats and sunbathe on the beach.
"A crane, with the letters ""LIEBHERR"" on it, seems to be demolishing a dark gray building with graffiti on it.",The crane is idle with noone controlling it.,2,"The premise describes a crane actively demolishing a building, while the hypothesis suggests the crane is idle and unoperated.",A crane demolishing is not idle.
Three construction workers working on the street.,Three men are building a scaffolding on the street.,1,"The construction workers are engaged in a task on the street, which could involve building structures like scaffolding.",Not  all construction workers working on the street are building a scaffolding.
